id,created_at,text
1074960823481786369,2018-12-18 09:33:26,"b'@Miguel__Lorente escribe y recuerda que mientras las mujeres tengamos que tomar medidas para protegernos, estos mac\xe2\x80\xa6 https://t.co/FX5AOUVFwA'"
1074768782785216512,2018-12-17 20:50:20,b'RT @paulaboneti: NOS MATAN'
1073536273866985472,2018-12-14 11:12:47,"b'RT @24h_tve: .@Madrid_tve Decenas de periodistas se concentran ante el Tribunal Supremo bajo el lema ""No hay Democracia sin periodismo"" #Ca\xe2\x80\xa6'"
1072507900210360320,2018-12-11 15:06:24,b'RT @IkerMoran_: Holi compis de agencias de comunicaci\xc3\xb3n. Consejos del tito Iker: cosas que nos molestan a los periodistas:\n1. Dar por hecho\xe2\x80\xa6'
1069560789797875712,2018-12-03 11:55:38,"b'RT @ramonlobo: El \xc3\xa9xito de Vox es un fracaso colectivo. De la derecha tradicional que ha blanqueado su discurso y de la izquierda, perdida\xe2\x80\xa6'"
1067839199850713089,2018-11-28 17:54:39,b'RT @aventurasaber: NCI Educaci\xc3\xb3n es un programa semanal de \xc3\xa1mbito iberoamericano dedicado al conocimiento  @NCINoticias   https://t.co/Sle4\xe2\x80\xa6'
1065970454337339393,2018-11-23 14:08:55,b'Sobre las marcas que deja la guerra pero tambi\xc3\xa9n sobre el perd\xc3\xb3n. Excombatientes argentinos y brit\xc3\xa1nicos de la Guer\xe2\x80\xa6 https://t.co/yYTRGs1QVL'
1064447132642549760,2018-11-19 09:15:47,"b'https://t.co/C80E3cvY9M\n""La esquinada ubicaci\xc3\xb3n y el car\xc3\xa1cter poco reivindicativo de sus habitantes dejan fuera de\xe2\x80\xa6 https://t.co/ev22xVWfPe'"
1060592865758322688,2018-11-08 18:00:18,b'RT @MSNBC: BREAKING: White House aide grabs and tries to physically remove a microphone from CNN Correspondent Jim Acosta during a contenti\xe2\x80\xa6'
1060569406319849472,2018-11-08 16:27:05,b'Hoy hemos entrevistado a @ViolaSofia para @NCINoticias Esta noche abre el concierto de @monlaferte y ma\xc3\xb1ana tocar\xc3\xa1\xe2\x80\xa6 https://t.co/VXMNMBf4Uz'
1060129687991660545,2018-11-07 11:19:48,b'RT @AP_APAlmeria: La UNESCO lanza el Observatorio de Periodistas\xc2\xa0Asesinados https://t.co/Gj4Ua86p1Q https://t.co/z4cB7NM5DE'
1056880915266322433,2018-10-29 12:10:20,"b'Seguimos trabajando, ahora, para dar voz a los pacientes con diabetes. #DiaMundialDiabetes https://t.co/Z0mJASag7V'"
1052951888696619009,2018-10-18 15:57:47,"b'RT @salvadostv: Seguro que nos ha le\xc3\xaddo en el Marca. D\xc3\xadganos algo, @marianorajoy. https://t.co/7B2nSlMbK8'"
1052923387234934784,2018-10-18 14:04:32,b'RT @plenaiandalucia: Andaluc\xc3\xada ser\xc3\xa1 la primera Comunidad Aut\xc3\xb3noma  en la que todas las personas con discapacidad intelectual podr\xc3\xa1n votar.\xe2\x80\xa6'
1052523407122866177,2018-10-17 11:35:09,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f  #gastronomia #Almeria https://t.co/BNL5G9FwYy'
1052194954083102720,2018-10-16 13:50:00,b'RT @aventurasaber: Colaboraci\xc3\xb3n con la Televisi\xc3\xb3n Educativa Iberoamericana  @NCINoticias https://t.co/es6ZrdAsTM @la2_tve https://t.co/fD4T\xe2\x80\xa6'
1051791068243644416,2018-10-15 11:05:06,"b'\xe2\x9c\x8d\xef\xb8\x8f  #PiedadBonet @LouisaMayAlcott @BrunaHusky #IsabelMellado #JuliaNavarro @SarahLarkWriter Diferentes \xc3\xa9pocas, g\xc3\xa9ne\xe2\x80\xa6 https://t.co/HlkPAVLWLz'"
1050311359412473856,2018-10-11 09:05:16,b'RT @NCINoticias: Este a\xc3\xb1o el #DiaMundialSaludMental pone el foco en los j\xc3\xb3venes. Un tema sobre el que profundizamos con Nel Anxelu Gonz\xc3\xa1lez\xe2\x80\xa6'
1049645298753122306,2018-10-09 12:58:35,b'RT @A_Valenzuela: Desde que estoy embarazada he tenido que decir que no a muchos trabajos de presentadora de eventos y a rodajes. No aguant\xe2\x80\xa6'
1049590932872552448,2018-10-09 09:22:33,b'RT @NCINoticias: Esta semana en NCI Educaci\xc3\xb3n:\n\xf0\x9f\x93\x8d La #SaludMental en espacios como el instituto o la universidad. @noalestigma @consaludment\xe2\x80\xa6'
1049214482826895360,2018-10-08 08:26:40,"b'@BelliRamirez Buenos d\xc3\xadas Belli, soy Noelia Carri\xc3\xb3n periodista de la Televisi\xc3\xb3n Iberoamericana. \xc2\xbfPodr\xc3\xada facilitarme\xe2\x80\xa6 https://t.co/Ac6GhxTyQ3'"
1049198645122420736,2018-10-08 07:23:44,"b'RT @rosamariaartal: La periodista b\xc3\xbalgara Victoria Marinova ha sido hallada violada y asesinada, informan medios locales. Investigaba casos\xe2\x80\xa6'"
1048181536460328961,2018-10-05 12:02:07,"b'RT @elpais_inter: ENTREVISTA | Nadia Murad, activista yazid\xc3\xad reci\xc3\xa9n galardonada con el Premio Nobel de la Paz. Murad convers\xc3\xb3 con EL PA\xc3\x8dS e\xe2\x80\xa6'"
1048149929317863424,2018-10-05 09:56:31,"b'@MIAnimacion Buenos d\xc3\xadas, soy Noelia Carri\xc3\xb3n periodista de la Televisi\xc3\xb3n Iberoamericana. \xc2\xbfPodr\xc3\xadan facilitarme un n\xc2\xba\xe2\x80\xa6 https://t.co/wADIOFmYZ1'"
1047765661072744448,2018-10-04 08:29:34,b'@SaveChildrenEs denuncia los abusos sexuales en la infancia con #RompoelSilencio y pide que se cree una fiscal\xc3\xada es\xe2\x80\xa6 https://t.co/fXd3QFyz4N'
1047757085897678848,2018-10-04 07:55:30,b'RT @WWFespana: \xc2\xa1Hoy es el #DiaMundialDeLosAnimales! Compartimos el planeta con una variedad enorme de especies de animales y hoy es el d\xc3\xada\xe2\x80\xa6'
1047050463537967106,2018-10-02 09:07:38,b'Hoy comienza #NCIEducaci\xc3\xb3n\xf0\x9f\x91\x8f  Seguimos trabajando para dar visibilidad a la cultura cient\xc3\xadfica y educativa de Iberoa\xe2\x80\xa6 https://t.co/SVzc85gSg3'
1045621962725347328,2018-09-28 10:31:17,b'\xc2\xbfQu\xc3\xa9 est\xc3\xa1 pasando con la justicia espa\xc3\xb1ola que est\xc3\xa1 fallando a las v\xc3\xadctimas de violencia de g\xc3\xa9nero? \xc2\xbfEn qu\xc3\xa9 se ampa\xe2\x80\xa6 https://t.co/Q0rlFwRi5I'
1045611565402263553,2018-09-28 09:49:58,"b'RT @MedicosdelMundo: Hoy, 28 de septiembre, se celebra el D\xc3\xada Internacional por la despenalizaci\xc3\xb3n del aborto, denominado en Espa\xc3\xb1a como D\xc3\xad\xe2\x80\xa6'"
1045251604415500290,2018-09-27 09:59:36,"b'RT @PDICIENCIA: La @Plenainclusion llega a las universidades gracias a entidades como la @Fundacion_ONCE @ujaen, @Univcordoba @unicompluten\xe2\x80\xa6'"
1044958652099186688,2018-09-26 14:35:31,b'RT @NCINoticias: Pablo Ibar lleva 24 a\xc3\xb1os preso y 16 de ellos esperando en el corredor de la muerte. Este es el caso que sienta la base de\xe2\x80\xa6'
1044554491947814912,2018-09-25 11:49:32,"b'RT @NCINoticias: La compa\xc3\xb1era @Noelia_Carrion9 entrevist\xc3\xb3 a Cheli Blasco, Coordinadora C\xc3\xadrculo de Familias en duelo, sobre c\xc3\xb3mo se aborda d\xe2\x80\xa6'"
1042422146486677504,2018-09-19 14:36:21,b'\xf0\x9f\x94\xb5  Visibilicemos algo tan natural como dar el pecho (en el deporte y en cualquier \xc3\xa1mbito profesional)\xf0\x9f\x91\x8f   #maternidad https://t.co/27VOVlTpMn'
1042371672962215936,2018-09-19 11:15:47,b'Decepcionada con este titular de @elmundoes sobre el asesinato de #CeliaBarquin \xc2\xbfEs posible un poco menos de empat\xc3\xad\xe2\x80\xa6 https://t.co/dBrNdPKCDM'
1042073328683507712,2018-09-18 15:30:17,"b'RT @NCINoticias: Nel Anxelu Gonz\xc3\xa1lez Zapico, presidente de @consaludmental, estar\xc3\xa1 en NCI con motivo del D\xc3\xada Mundial de la #SaludMental par\xe2\x80\xa6'"
1041653341422583808,2018-09-17 11:41:24,b'Noticias que te alegran el d\xc3\xada\xf0\x9f\x98\x84  #Westworld   #AaronPaul https://t.co/m2J5NBJen0'
1041621537126854658,2018-09-17 09:35:01,b'RT @AdrianaRecio_: Entrevista a @paulaboneti sobre #Roedores en @elconfidencial: \xc2\xabel hecho de que t\xc3\xba no sepas c\xc3\xb3mo preguntar y yo no sepa q\xe2\x80\xa6'
1040238625458450433,2018-09-13 13:59:49,b'La Confederaci\xc3\xb3n @Autismo_Espana ha presentado un manual para que los medios de comunicaci\xc3\xb3n tratemos de una forma\xe2\x80\xa6 https://t.co/VypLEfXpc1'
1039423343160647680,2018-09-11 08:00:11,b'RT @Barriolasletras: Si quieres que las frases de  escritoras  espa\xc3\xb1olas  se queden de forma permanente en las calles del Barrio de las Let\xe2\x80\xa6'
1038020188384440320,2018-09-07 11:04:33,"b'@patriflorp Buenas tardes Patricia, soy Noelia Carri\xc3\xb3n, de la Televisi\xc3\xb3n Iberoamericana. Te entrevistamos en Valenc\xe2\x80\xa6 https://t.co/mkzLoxHREh'"
1037687458660532229,2018-09-06 13:02:24,"b'RT @MadridDestino: El pr\xc3\xb3ximo martes 11, Ram\xc3\xb3n Paso estrena ""Otelo a juicio"" en  @fernangomezCCV. Una revisi\xc3\xb3n del cl\xc3\xa1sico de Shakespeare,\xe2\x80\xa6'"
1037671855304441856,2018-09-06 12:00:23,b'RT @NCINoticias: Hoy la compa\xc3\xb1era @Noelia_Carrion9 ha entrevistado a @NachoCarretero. El periodista espa\xc3\xb1ol estar\xc3\xa1 presentando en nuestro p\xe2\x80\xa6'
1035504887981854722,2018-08-31 12:29:38,b'RT @NCINoticias: La pr\xc3\xb3xima semana en NCI:\nInvestigadores Mohamed Mostajo (de @UofCalifornia y @CdeCBo) y Juan Sebasti\xc3\xa1n Osorio (de @CdeC_C\xe2\x80\xa6'
1035141481772797952,2018-08-30 12:25:35,b'RT @publico_es: La otra cara de comprar beb\xc3\xa9s y alquilar \xc3\xbateros \n\nPor @anaisbernal https://t.co/UR2FuXsMI7'
1035107421046427648,2018-08-30 10:10:15,b'RT @elpais_cultura: El premio reconoce la capacidad de Almudena Grandes para \xe2\x80\x9ccrear una obra literaria centrada en la mujer y en la histori\xe2\x80\xa6'
1034722925327339520,2018-08-29 08:42:24,b'RT @ramonlobo: El trabajo de los periodistas no consiste en repetir las mentiras sino en confrontarlas con datos para desactivarlas. Esto d\xe2\x80\xa6'
1034349736810164224,2018-08-28 07:59:29,b'RT @ONUMedioAmb: Mira en esta infograf\xc3\xada 6 factores que amenazan la calidad del #agua.\nEn la #SemanadelAgua en Suecia se buscar\xc3\xa1n solucione\xe2\x80\xa6'
1032211834860957698,2018-08-22 10:24:13,"b""Con muchas ganas de conocer 'Roedores' all\xc3\xad estar\xc3\xa9 @paulaboneti https://t.co/dO10UbJKe5"""
1031899042303754240,2018-08-21 13:41:18,b'RT @Emiliodelape: Imprescindible este art\xc3\xadculo  para conocer como Grecia pasa de ser un protectorado a ser un protectorado y contin\xc3\xbaa siend\xe2\x80\xa6'
1031462594899456002,2018-08-20 08:47:00,b'RT @Madridonasangre: URGE! Seguimos con el 0- en alerta roja. Os necesitamos.!! A- y B- tb en alerta. Consulta tu punto +cercano en https:/\xe2\x80\xa6'
1025039305390149635,2018-08-02 15:23:09,"b'RT @anaisbernal: \xc2\xbfPor qu\xc3\xa9, a pesar de estar en libertad provisional, un miembro de La Manada decide ampliar su historial delictivo y robar?\xe2\x80\xa6'"
1023202466203136000,2018-07-28 13:44:12,"b'@mjiastedalegria El problema est\xc3\xa1 en que, con su videoclip por ejemplo, esta persona muestra estereotipos de la cul\xe2\x80\xa6 https://t.co/VGHWYt2Zzs'"
1023201276606246913,2018-07-28 13:39:29,"b'RT @ramonlobo: Los periodistas no podemos exigir que se prohiban Facebook,Twitter o Google por competencia desleal. Tampoco los taxistas co\xe2\x80\xa6'"
1023116412049674240,2018-07-28 08:02:15,"b'RT @elcultural: Emily Bronte, 200 a\xc3\xb1os de cumbres y versos https://t.co/E93Kf9MkRZ https://t.co/Cumc1HEGvF'"
